a1:0.9926334059901509 a2:0.9983954952773069 a3:0.9998284491805925 abs_rel:0.04809889197349548 rmse:1.7212772369384766 log_10:0.02027006633579731 rmse_log:0.06511705368757248 sq_rel:0.09955742210149765 silog:5.858831591974671 weight_abs_rel:0.004055697470903397
a1:0.9936790637577966 a2:0.9998512720884187 a3:0.9999814090110524 abs_rel:0.030714794993400574 rmse:1.6529558897018433 log_10:0.013470948673784733 rmse_log:0.046649184077978134 sq_rel:0.061945535242557526 silog:4.660154265463396 weight_abs_rel:0.002306960988789797
a1:0.9863921332090438 a2:1.0 a3:1.0 abs_rel:0.04872030019760132 rmse:1.9185127019882202 log_10:0.021219855174422264 rmse_log:0.06725946068763733 sq_rel:0.09993194043636322 silog:6.628480857038399 weight_abs_rel:0.004116635769605637
a1:0.9858855881472613 a2:0.9990272373540856 a3:1.0 abs_rel:0.04154033213853836 rmse:1.9011671543121338 log_10:0.018151843920350075 rmse_log:0.06330882757902145 sq_rel:0.09217698872089386 silog:6.310253756822679 weight_abs_rel:0.003535616910085082
a1:0.9974762995660352 a2:0.9999254996181856 a3:0.9999906874522732 abs_rel:0.03921179473400116 rmse:1.4114786386489868 log_10:0.01669660396873951 rmse_log:0.05510015785694122 sq_rel:0.05430242419242859 silog:5.28421281431671 weight_abs_rel:0.003879558527842164
a1:0.9909693366160314 a2:0.9999513434084916 a3:1.0 abs_rel:0.06840190291404724 rmse:2.303636074066162 log_10:0.02941693738102913 rmse_log:0.08654972910881042 sq_rel:0.14494840800762177 silog:8.654906155774441 weight_abs_rel:0.00607895664870739
a1:0.9855813243820568 a2:0.9991281224116134 a3:0.9999237107110162 abs_rel:0.07996669411659241 rmse:2.290940284729004 log_10:0.03290270268917084 rmse_log:0.10153304785490036 sq_rel:0.19511720538139343 silog:8.420759343227115 weight_abs_rel:0.00645830575376749
a1:0.9935196589294173 a2:0.9994694457603032 a3:0.9999336807200379 abs_rel:0.03804410994052887 rmse:2.048140048980713 log_10:0.01667453721165657 rmse_log:0.055231742560863495 sq_rel:0.08384525030851364 silog:5.512332508198026 weight_abs_rel:0.0031764572486281395
a1:0.9948501217498391 a2:0.999701456333324 a3:0.9997481037812421 abs_rel:0.041882410645484924 rmse:1.5393930673599243 log_10:0.017996151000261307 rmse_log:0.05940249189734459 sq_rel:0.06700099259614944 silog:5.938487646096448 weight_abs_rel:0.003917338792234659
a1:0.9222232662052262 a2:0.9987263407351729 a3:0.9997494440790504 abs_rel:0.1023632287979126 rmse:2.526305913925171 log_10:0.04143073409795761 rmse_log:0.1261754333972931 sq_rel:0.27586156129837036 silog:10.401340300377818 weight_abs_rel:0.00873560830950737
a1:0.9962286334448766 a2:1.0 a3:1.0 abs_rel:0.029420197010040283 rmse:1.6477655172348022 log_10:0.012804415076971054 rmse_log:0.043993182480335236 sq_rel:0.058249540627002716 silog:4.378503307030817 weight_abs_rel:0.002299864776432514
a1:0.9828608652679814 a2:0.9985286850262816 a3:0.9995619749314884 abs_rel:0.06804773956537247 rmse:2.3126556873321533 log_10:0.02812846004962921 rmse_log:0.09213031828403473 sq_rel:0.18376891314983368 silog:8.35644773762531 weight_abs_rel:0.005009195301681757
a1:0.9913418610484073 a2:0.9999699021820918 a3:1.0 abs_rel:0.03269519656896591 rmse:1.958330512046814 log_10:0.01449027843773365 rmse_log:0.05400147661566734 sq_rel:0.08311595767736435 silog:5.295266604620871 weight_abs_rel:0.0023324566427618265
a1:0.9851961226113887 a2:0.999702771891809 a3:1.0 abs_rel:0.04466325789690018 rmse:1.9159369468688965 log_10:0.020050253719091415 rmse_log:0.06790517270565033 sq_rel:0.1044437512755394 silog:6.1830715431001995 weight_abs_rel:0.0031285518780350685
a1:0.9144864830386852 a2:0.998309715415608 a3:0.9998192777488386 abs_rel:0.09294559806585312 rmse:2.626804828643799 log_10:0.038198087364435196 rmse_log:0.11962680518627167 sq_rel:0.24472543597221375 silog:11.084296027822441 weight_abs_rel:0.008493966422975063
a1:0.9602526608756157 a2:0.9974668681575543 a3:0.9993694349920093 abs_rel:0.07693356275558472 rmse:2.5701327323913574 log_10:0.03243307024240494 rmse_log:0.1023121327161789 sq_rel:0.19400151073932648 silog:10.170425735146745 weight_abs_rel:0.006735488772392273
a1:0.9813121718868436 a2:0.9997847671273898 a3:1.0 abs_rel:0.04195062443614006 rmse:2.0145809650421143 log_10:0.018790988251566887 rmse_log:0.06820454448461533 sq_rel:0.10237330943346024 silog:6.720296817526224 weight_abs_rel:0.0033652964048087597
a1:0.9241927690594736 a2:0.9987080103359173 a3:0.9996743765887272 abs_rel:0.10344747453927994 rmse:2.522279977798462 log_10:0.0420520044863224 rmse_log:0.12605692446231842 sq_rel:0.2667774260044098 silog:10.899850428429259 weight_abs_rel:0.009298967197537422
a1:0.9919584979116663 a2:0.9998299094740423 a3:1.0 abs_rel:0.03725554049015045 rmse:1.9230035543441772 log_10:0.016253488138318062 rmse_log:0.05428899824619293 sq_rel:0.08112617582082748 silog:5.345686646491661 weight_abs_rel:0.003117865417152643
a1:0.9853816022666982 a2:0.9979906758327971 a3:0.99994355830991 abs_rel:0.06100331246852875 rmse:2.5147416591644287 log_10:0.025602160021662712 rmse_log:0.08317120373249054 sq_rel:0.16332975029945374 silog:7.245776743042644 weight_abs_rel:0.0044665103778243065
a1:0.9893931967454171 a2:0.9997059111851779 a3:1.0 abs_rel:0.036737218499183655 rmse:1.6209101676940918 log_10:0.01607130467891693 rmse_log:0.055687952786684036 sq_rel:0.07408362627029419 silog:5.546160497056481 weight_abs_rel:0.002862517489120364
